epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8699,1.02858,1.06127,1.31061,0.58703,0.67051,0.63872,0.48478,0.83161,1.15554,1.16889,0.000473826,0.000473826,0.000473826
2,53.7791,0.93277,0.73771,1.2366,0.65821,0.71958,0.68085,0.48994,0.96052,0.95463,1.27475,0.000934482,0.000934482,0.000934482
3,79.4291,0.90481,0.68956,1.22623,0.576,0.57543,0.55917,0.41723,0.81835,1.48753,1.16025,0.00137942,0.00137942,0.00137942
4,105.364,0.88828,0.66003,1.211,0.41849,0.68413,0.448,0.31676,0.89229,1.44001,1.22884,0.00135826,0.00135826,0.00135826
5,131.361,0.87131,0.62337,1.20079,0.49198,0.83914,0.66567,0.51346,0.81638,0.93333,1.13842,0.00133469,0.00133469,0.00133469
6,157.847,0.84611,0.58483,1.1763,0.77827,0.80395,0.84789,0.61484,0.84888,0.65335,1.1714,0.00131111,0.00131111,0.00131111
7,183.336,0.83381,0.56651,1.17374,0.70163,0.72552,0.74549,0.57452,0.78032,0.77203,1.12309,0.00128753,0.00128753,0.00128753
8,209.023,0.81003,0.54327,1.15929,0.73568,0.76855,0.81712,0.6228,0.8306,0.63413,1.15798,0.00126395,0.00126395,0.00126395
9,235.181,0.80689,0.54116,1.15621,0.74283,0.84532,0.82373,0.62547,0.77742,0.63236,1.12264,0.00124037,0.00124037,0.00124037
10,261.635,0.7865,0.5158,1.14737,0.81791,0.85982,0.87416,0.6922,0.7435,0.50632,1.09394,0.00121679,0.00121679,0.00121679
11,288.138,0.7839,0.50306,1.14246,0.7577,0.80286,0.80831,0.62929,0.79616,0.62685,1.12424,0.00119322,0.00119322,0.00119322
12,315.671,0.77156,0.50055,1.13689,0.69499,0.75674,0.79588,0.61766,0.80829,0.70506,1.13325,0.00116964,0.00116964,0.00116964
13,343.308,0.76167,0.4819,1.12793,0.71049,0.82778,0.79423,0.59577,0.79364,0.59085,1.13276,0.00114606,0.00114606,0.00114606
14,370.535,0.75309,0.47864,1.12078,0.82436,0.84746,0.85481,0.65088,0.79806,0.52932,1.13593,0.00112248,0.00112248,0.00112248
15,396.536,0.73793,0.45251,1.11654,0.88274,0.87326,0.91023,0.68244,0.88334,0.55385,1.21226,0.0010989,0.0010989,0.0010989
16,422.113,0.72922,0.44667,1.11076,0.58652,0.86926,0.7402,0.58755,0.71474,0.7995,1.07917,0.00107532,0.00107532,0.00107532
17,448.598,0.73295,0.44254,1.11488,0.66883,0.77039,0.71114,0.54008,0.85678,0.73505,1.18354,0.00105174,0.00105174,0.00105174
18,475.769,0.71702,0.42991,1.10224,0.81802,0.87199,0.88606,0.69947,0.73355,0.54363,1.07927,0.00102817,0.00102817,0.00102817
19,503.139,0.72306,0.4336,1.10699,0.73586,0.85014,0.81798,0.64129,0.75898,0.60615,1.11148,0.00100459,0.00100459,0.00100459
20,530.208,0.70884,0.42276,1.0994,0.80559,0.91294,0.92348,0.7232,0.77356,0.48169,1.12202,0.000981008,0.000981008,0.000981008
21,557.462,0.70188,0.42186,1.0955,0.8147,0.86705,0.89282,0.69117,0.77193,0.48847,1.12468,0.00095743,0.00095743,0.00095743
22,584.639,0.69735,0.41534,1.09051,0.77412,0.86184,0.84869,0.66763,0.75054,0.52744,1.10606,0.000933851,0.000933851,0.000933851
23,611.471,0.70043,0.4167,1.09354,0.75021,0.87596,0.85962,0.69159,0.72405,0.66465,1.09364,0.000910273,0.000910273,0.000910273
24,637.114,0.67804,0.39757,1.08391,0.74951,0.8126,0.86419,0.68875,0.72023,0.59251,1.09836,0.000886694,0.000886694,0.000886694
25,662.579,0.68276,0.39296,1.07973,0.81605,0.86206,0.90162,0.70991,0.72919,0.5212,1.09168,0.000863116,0.000863116,0.000863116
26,687.993,0.68115,0.39377,1.07907,0.7848,0.88564,0.8643,0.68822,0.72565,0.51993,1.09412,0.000839537,0.000839537,0.000839537
27,713.093,0.67294,0.38461,1.07833,0.88659,0.79598,0.89681,0.66614,0.84771,0.51722,1.16736,0.000815959,0.000815959,0.000815959
28,738.771,0.67308,0.38908,1.07613,0.77653,0.79244,0.83118,0.66407,0.72408,0.65832,1.09161,0.00079238,0.00079238,0.00079238
29,764.521,0.66129,0.38018,1.07063,0.73616,0.89006,0.77274,0.60893,0.73986,0.64798,1.09752,0.000768802,0.000768802,0.000768802
30,789.782,0.6564,0.37799,1.06928,0.73002,0.81982,0.79385,0.62366,0.72515,0.62221,1.09307,0.000745223,0.000745223,0.000745223
31,815.222,0.6552,0.36748,1.06593,0.83011,0.86683,0.88902,0.7117,0.72808,0.5232,1.09683,0.000721645,0.000721645,0.000721645
32,840.903,0.64872,0.36641,1.06587,0.82862,0.84634,0.90029,0.71383,0.72594,0.51793,1.08946,0.000698066,0.000698066,0.000698066
33,866.438,0.65483,0.36432,1.0671,0.83777,0.89108,0.90218,0.72182,0.68831,0.48903,1.06462,0.000674488,0.000674488,0.000674488
34,891.87,0.64654,0.36372,1.06442,0.86539,0.89889,0.93513,0.73345,0.71928,0.44807,1.09006,0.000650909,0.000650909,0.000650909
35,917.041,0.64706,0.36544,1.06091,0.83581,0.87076,0.89032,0.70104,0.74677,0.51689,1.10854,0.000627331,0.000627331,0.000627331
36,942.058,0.63774,0.36045,1.05984,0.84519,0.79619,0.89569,0.70581,0.72756,0.50119,1.09493,0.000603752,0.000603752,0.000603752
