epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6137,1.02804,1.09538,1.30364,0.56874,0.7518,0.6144,0.44391,0.86494,0.92252,1.22288,0.000473716,0.000473716,0.000473716
2,53.9847,0.92738,0.73281,1.22777,0.5153,0.72018,0.6488,0.41095,1.10135,1.02912,1.38297,0.000934374,0.000934374,0.000934374
3,79.8956,0.92158,0.69889,1.22711,0.83937,0.60922,0.77022,0.5118,1.05938,1.04628,1.37145,0.00137931,0.00137931,0.00137931
4,106.694,0.90932,0.67112,1.21541,0.70119,0.81437,0.84596,0.59957,0.95424,0.76794,1.2875,0.00135826,0.00135826,0.00135826
5,132.415,0.86629,0.6247,1.19325,0.54419,0.81407,0.71688,0.51318,0.92622,0.99831,1.2608,0.00133469,0.00133469,0.00133469
6,158.706,0.85056,0.61243,1.18014,0.78598,0.78872,0.85265,0.65695,0.75746,0.65613,1.1256,0.00131111,0.00131111,0.00131111
7,184.43,0.84744,0.58303,1.17509,0.85265,0.89221,0.96839,0.73184,0.77184,0.48357,1.13813,0.00128753,0.00128753,0.00128753
8,210.553,0.83681,0.56748,1.17059,0.77416,0.72141,0.812,0.58762,1.00262,0.80861,1.31728,0.00126395,0.00126395,0.00126395
9,236.544,0.82369,0.55895,1.16254,0.79349,0.90628,0.919,0.72722,0.72256,0.6466,1.0936,0.00124037,0.00124037,0.00124037
10,262.328,0.80334,0.53264,1.15036,0.79418,0.79884,0.8851,0.6574,0.74991,0.54197,1.13085,0.00121679,0.00121679,0.00121679
11,287.665,0.79559,0.52067,1.1452,0.79218,0.85568,0.89629,0.7039,0.72705,0.53444,1.10857,0.00119322,0.00119322,0.00119322
12,313.152,0.78606,0.51598,1.14015,0.9494,0.93145,0.97904,0.79669,0.65819,0.36908,1.05507,0.00116964,0.00116964,0.00116964
13,339.637,0.77918,0.50005,1.135,0.86676,0.88249,0.94565,0.75773,0.67826,0.41484,1.07128,0.00114606,0.00114606,0.00114606
14,365.207,0.77229,0.49009,1.13147,0.89963,0.93278,0.97917,0.79718,0.66233,0.36494,1.0532,0.00112248,0.00112248,0.00112248
15,390.898,0.75808,0.4753,1.12204,0.83804,0.8369,0.90591,0.71005,0.73792,0.57279,1.12099,0.0010989,0.0010989,0.0010989
16,416.265,0.75302,0.4656,1.11702,0.85562,0.89415,0.95175,0.76668,0.68649,0.41511,1.0855,0.00107532,0.00107532,0.00107532
17,442.509,0.74627,0.4648,1.1177,0.93872,0.93178,0.97659,0.78769,0.65442,0.38076,1.05418,0.00105174,0.00105174,0.00105174
18,468.972,0.75066,0.45421,1.11682,0.87671,0.87222,0.97082,0.78012,0.65238,0.4478,1.05325,0.00102817,0.00102817,0.00102817
19,494.45,0.73951,0.45364,1.11006,0.86362,0.8669,0.94234,0.76569,0.6607,0.45089,1.06527,0.00100459,0.00100459,0.00100459
20,520.77,0.73494,0.44577,1.11156,0.91912,0.93607,0.97632,0.80432,0.62612,0.34129,1.02972,0.000981008,0.000981008,0.000981008
21,546.516,0.72736,0.43462,1.102,0.9311,0.95688,0.98299,0.80545,0.64694,0.34919,1.05272,0.00095743,0.00095743,0.00095743
22,572.453,0.71789,0.42928,1.09936,0.92037,0.93101,0.97101,0.80787,0.6195,0.3506,1.02411,0.000933851,0.000933851,0.000933851
23,598.651,0.71635,0.43553,1.09784,0.88443,0.92774,0.96613,0.80635,0.62643,0.37105,1.03313,0.000910273,0.000910273,0.000910273
24,624.566,0.7135,0.42521,1.10148,0.93748,0.95859,0.97704,0.81684,0.62243,0.33218,1.03355,0.000886694,0.000886694,0.000886694
25,650.099,0.71035,0.41627,1.09538,0.97409,0.98077,0.99053,0.82629,0.60933,0.29418,1.00695,0.000863116,0.000863116,0.000863116
26,675.867,0.69956,0.40094,1.08604,0.94306,0.95227,0.97019,0.81718,0.60532,0.32604,1.02036,0.000839537,0.000839537,0.000839537
27,702.869,0.69229,0.40766,1.0796,0.9713,0.98254,0.99315,0.82823,0.61033,0.2984,1.01198,0.000815959,0.000815959,0.000815959
28,728.37,0.68709,0.39328,1.07891,0.95262,0.96628,0.98867,0.835,0.61,0.30414,1.02347,0.00079238,0.00079238,0.00079238
29,753.823,0.68537,0.39777,1.08224,0.9614,0.97557,0.99226,0.83538,0.6042,0.29551,1.01598,0.000768802,0.000768802,0.000768802
30,779.347,0.68064,0.39542,1.07689,0.96595,0.97218,0.99184,0.83843,0.61088,0.29141,1.022,0.000745223,0.000745223,0.000745223
31,805.742,0.67335,0.38421,1.07384,0.97929,0.98647,0.99405,0.83032,0.59657,0.27607,1.01135,0.000721645,0.000721645,0.000721645
32,831.855,0.66489,0.37862,1.06817,0.96784,0.98756,0.99214,0.83064,0.59861,0.27571,1.01375,0.000698066,0.000698066,0.000698066
33,857.492,0.66537,0.37743,1.06882,0.94696,0.95326,0.9874,0.83967,0.58266,0.31545,1.00354,0.000674488,0.000674488,0.000674488
34,883.897,0.66402,0.37666,1.07187,0.97455,0.97816,0.99204,0.83717,0.59649,0.28589,1.01114,0.000650909,0.000650909,0.000650909
35,909.389,0.66641,0.37566,1.07014,0.96961,0.96562,0.99008,0.84309,0.57598,0.27832,0.99391,0.000627331,0.000627331,0.000627331
36,935.662,0.66508,0.37406,1.07047,0.97131,0.97327,0.9926,0.83887,0.58092,0.2755,0.99638,0.000603752,0.000603752,0.000603752
37,961.865,0.65115,0.36713,1.06209,0.98143,0.9834,0.99401,0.84339,0.57166,0.27218,0.99092,0.000580174,0.000580174,0.000580174
38,987.582,0.65121,0.36886,1.06233,0.94913,0.9516,0.98832,0.83768,0.57774,0.2867,0.99748,0.000556595,0.000556595,0.000556595
